location_id,age_group_id,age_group,sex_id,year_id,severity,metric_id,level,cause_name,prev,lower,upper
1,NA,60 plus,1,2021,moderate and severe,3,3,Maternal obstructed labor and uterine rupture,0,0,0
1,NA,60 plus,1,2021,moderate and severe,3,3,Chlamydial infection,0,0,0
1,NA,60 plus,1,2021,moderate and severe,3,3,Gonococcal infection,0,0,0
1,NA,60 plus,1,2021,moderate and severe,3,3,Other sexually transmitted infections,0,0,0
1,NA,60 plus,1,2021,moderate and severe,3,3,Cervical cancer,0,0,0
1,NA,60 plus,1,2021,moderate and severe,3,3,Uterine cancer,0,0,0
1,NA,60 plus,1,2021,moderate and severe,3,3,Ovarian cancer,0,0,0
1,NA,60 plus,1,2021,moderate and severe,3,3,Anorexia nervosa,0,0,0
1,NA,60 plus,1,2021,moderate and severe,3,3,Bulimia nervosa,0,0,0
1,NA,60 plus,1,2021,moderate and severe,3,3,Conduct disorder,0,0,0
1,NA,60 plus,1,2021,moderate and severe,3,3,Other gynecological diseases,0,0,0
1,NA,60 plus,1,2021,moderate and severe,3,3,Endometriosis,0,0,0
1,NA,60 plus,1,2021,moderate and severe,3,3,Uterine fibroids,0,0,0
1,NA,60 plus,1,2021,moderate and severe,3,3,Protein-energy malnutrition,0,0,0
1,NA,60 plus,1,2021,moderate and severe,3,3,Hepatoblastoma,0,0,0
1,NA,60 plus,1,2021,moderate and severe,3,3,Retinoblastoma,0,0,0
1,NA,60 plus,1,2021,severe,3,3,Cervical cancer,0,0,0
1,NA,60 plus,1,2021,severe,3,3,Uterine cancer,0,0,0
1,NA,60 plus,1,2021,severe,3,3,Ovarian cancer,0,0,0
1,NA,60 plus,1,2021,severe,3,3,Zika virus,0,0,0
1,NA,60 plus,1,2021,severe,3,3,Hepatoblastoma,0,0,0
1,NA,60 plus,1,2021,severe,3,3,Retinoblastoma,0,0,0
1,NA,60 plus,2,2021,moderate and severe,3,3,Chlamydial infection,0,0,0
1,NA,60 plus,2,2021,moderate and severe,3,3,Gonococcal infection,0,0,0
1,NA,60 plus,2,2021,moderate and severe,3,3,Other sexually transmitted infections,0,0,0
1,NA,60 plus,2,2021,moderate and severe,3,3,Prostate cancer,0,0,0
1,NA,60 plus,2,2021,moderate and severe,3,3,Testicular cancer,0,0,0
1,NA,60 plus,2,2021,moderate and severe,3,3,Anorexia nervosa,0,0,0
1,NA,60 plus,2,2021,moderate and severe,3,3,Bulimia nervosa,0,0,0
1,NA,60 plus,2,2021,moderate and severe,3,3,Conduct disorder,0,0,0
1,NA,60 plus,2,2021,moderate and severe,3,3,Endometriosis,0,0,0
1,NA,60 plus,2,2021,moderate and severe,3,3,Protein-energy malnutrition,0,0,0
1,NA,60 plus,2,2021,moderate and severe,3,3,Hepatoblastoma,0,0,0
1,NA,60 plus,2,2021,moderate and severe,3,3,Retinoblastoma,0,0,0
1,NA,60 plus,2,2021,severe,3,3,Testicular cancer,0,0,0
1,NA,60 plus,2,2021,severe,3,3,Zika virus,0,0,0
1,NA,60 plus,2,2021,severe,3,3,Hepatoblastoma,0,0,0
1,NA,60 plus,2,2021,severe,3,3,Retinoblastoma,0,0,0
1,NA,60 plus,3,2021,moderate and severe,3,3,Chlamydial infection,0,0,0
1,NA,60 plus,3,2021,moderate and severe,3,3,Gonococcal infection,0,0,0
1,NA,60 plus,3,2021,moderate and severe,3,3,Other sexually transmitted infections,0,0,0
1,NA,60 plus,3,2021,moderate and severe,3,3,Anorexia nervosa,0,0,0
1,NA,60 plus,3,2021,moderate and severe,3,3,Bulimia nervosa,0,0,0
1,NA,60 plus,3,2021,moderate and severe,3,3,Conduct disorder,0,0,0
1,NA,60 plus,3,2021,moderate and severe,3,3,Endometriosis,0,0,0
1,NA,60 plus,3,2021,moderate and severe,3,3,Protein-energy malnutrition,0,0,0
1,NA,60 plus,3,2021,moderate and severe,3,3,Hepatoblastoma,0,0,0
1,NA,60 plus,3,2021,moderate and severe,3,3,Retinoblastoma,0,0,0
1,NA,60 plus,3,2021,severe,3,3,Zika virus,0,0,0
1,NA,60 plus,3,2021,severe,3,3,Hepatoblastoma,0,0,0
1,NA,60 plus,3,2021,severe,3,3,Retinoblastoma,0,0,0
1,NA,60 plus,1,2021,moderate and severe,1,3,Maternal obstructed labor and uterine rupture,0,0,0
1,NA,60 plus,1,2021,moderate and severe,1,3,Chlamydial infection,0,0,0
1,NA,60 plus,1,2021,moderate and severe,1,3,Gonococcal infection,0,0,0
1,NA,60 plus,1,2021,moderate and severe,1,3,Other sexually transmitted infections,0,0,0
1,NA,60 plus,1,2021,moderate and severe,1,3,Cervical cancer,0,0,0
1,NA,60 plus,1,2021,moderate and severe,1,3,Uterine cancer,0,0,0
1,NA,60 plus,1,2021,moderate and severe,1,3,Ovarian cancer,0,0,0
1,NA,60 plus,1,2021,moderate and severe,1,3,Anorexia nervosa,0,0,0
1,NA,60 plus,1,2021,moderate and severe,1,3,Bulimia nervosa,0,0,0
1,NA,60 plus,1,2021,moderate and severe,1,3,Conduct disorder,0,0,0
1,NA,60 plus,1,2021,moderate and severe,1,3,Other gynecological diseases,0,0,0
1,NA,60 plus,1,2021,moderate and severe,1,3,Endometriosis,0,0,0
1,NA,60 plus,1,2021,moderate and severe,1,3,Uterine fibroids,0,0,0
1,NA,60 plus,1,2021,moderate and severe,1,3,Protein-energy malnutrition,0,0,0
1,NA,60 plus,1,2021,moderate and severe,1,3,Hepatoblastoma,0,0,0
1,NA,60 plus,1,2021,moderate and severe,1,3,Retinoblastoma,0,0,0
1,NA,60 plus,1,2021,severe,1,3,Cervical cancer,0,0,0
1,NA,60 plus,1,2021,severe,1,3,Uterine cancer,0,0,0
1,NA,60 plus,1,2021,severe,1,3,Ovarian cancer,0,0,0
1,NA,60 plus,1,2021,severe,1,3,Zika virus,0,0,0
1,NA,60 plus,1,2021,severe,1,3,Hepatoblastoma,0,0,0
1,NA,60 plus,1,2021,severe,1,3,Retinoblastoma,0,0,0
1,NA,60 plus,2,2021,moderate and severe,1,3,Chlamydial infection,0,0,0
1,NA,60 plus,2,2021,moderate and severe,1,3,Gonococcal infection,0,0,0
1,NA,60 plus,2,2021,moderate and severe,1,3,Other sexually transmitted infections,0,0,0
1,NA,60 plus,2,2021,moderate and severe,1,3,Prostate cancer,0,0,0
1,NA,60 plus,2,2021,moderate and severe,1,3,Testicular cancer,0,0,0
1,NA,60 plus,2,2021,moderate and severe,1,3,Anorexia nervosa,0,0,0
1,NA,60 plus,2,2021,moderate and severe,1,3,Bulimia nervosa,0,0,0
1,NA,60 plus,2,2021,moderate and severe,1,3,Conduct disorder,0,0,0
1,NA,60 plus,2,2021,moderate and severe,1,3,Endometriosis,0,0,0
1,NA,60 plus,2,2021,moderate and severe,1,3,Protein-energy malnutrition,0,0,0
1,NA,60 plus,2,2021,moderate and severe,1,3,Hepatoblastoma,0,0,0
1,NA,60 plus,2,2021,moderate and severe,1,3,Retinoblastoma,0,0,0
1,NA,60 plus,2,2021,severe,1,3,Testicular cancer,0,0,0
1,NA,60 plus,2,2021,severe,1,3,Zika virus,0,0,0
1,NA,60 plus,2,2021,severe,1,3,Hepatoblastoma,0,0,0
1,NA,60 plus,2,2021,severe,1,3,Retinoblastoma,0,0,0
1,NA,60 plus,3,2021,moderate and severe,1,3,Chlamydial infection,0,0,0
1,NA,60 plus,3,2021,moderate and severe,1,3,Gonococcal infection,0,0,0
1,NA,60 plus,3,2021,moderate and severe,1,3,Other sexually transmitted infections,0,0,0
1,NA,60 plus,3,2021,moderate and severe,1,3,Anorexia nervosa,0,0,0
1,NA,60 plus,3,2021,moderate and severe,1,3,Bulimia nervosa,0,0,0
1,NA,60 plus,3,2021,moderate and severe,1,3,Conduct disorder,0,0,0
1,NA,60 plus,3,2021,moderate and severe,1,3,Endometriosis,0,0,0
1,NA,60 plus,3,2021,moderate and severe,1,3,Protein-energy malnutrition,0,0,0
1,NA,60 plus,3,2021,moderate and severe,1,3,Hepatoblastoma,0,0,0
1,NA,60 plus,3,2021,moderate and severe,1,3,Retinoblastoma,0,0,0
1,NA,60 plus,3,2021,severe,1,3,Zika virus,0,0,0
1,NA,60 plus,3,2021,severe,1,3,Hepatoblastoma,0,0,0
1,NA,60 plus,3,2021,severe,1,3,Retinoblastoma,0,0,0
1,NA,15 to 59,1,2021,moderate and severe,3,3,Maternal obstructed labor and uterine rupture,0,0,0
1,NA,15 to 59,1,2021,moderate and severe,3,3,Chlamydial infection,0,0,0
1,NA,15 to 59,1,2021,moderate and severe,3,3,Gonococcal infection,0,0,0
1,NA,15 to 59,1,2021,moderate and severe,3,3,Other sexually transmitted infections,0,0,0
1,NA,15 to 59,1,2021,moderate and severe,3,3,Cervical cancer,0,0,0
