IncomeGroupCountry,age_group_id,sex_id,year_id,cause_name,level,severity,metric_id,mean,lower,upper
High,22,3,2021,Upper respiratory infections,3,moderate and severe,3,1.27077225954382E-05,9.75836727420919E-06,1.61019874549517E-05
High,22,3,2021,Chagas disease,3,moderate and severe,3,9.15834964951499E-06,7.13646812305753E-06,1.12857451748542E-05
High,22,3,2021,Schistosomiasis,3,moderate and severe,3,1.60706293513407E-08,8.38591934314447E-09,2.52653730020624E-08
High,22,3,2021,Onchocerciasis,3,moderate and severe,3,0,0,0
High,22,3,2021,Trachoma,3,moderate and severe,3,1.2357395144592E-06,8.79190126388787E-07,1.67939829277951E-06
High,22,3,2021,Dengue,3,moderate and severe,3,2.21413623639006E-05,4.43119988906641E-06,5.16723274775859E-05
High,22,3,2021,Food-borne trematodiases,3,moderate and severe,3,1.35421814669254E-07,3.27730837478751E-08,3.44542795637014E-07
High,22,3,2021,Iodine deficiency,3,moderate and severe,3,2.44618263601387E-06,6.45774309666093E-07,3.51004437650968E-06
High,22,3,2021,Vitamin A deficiency,3,moderate and severe,3,2.35824217702967E-06,1.7766278962708E-06,3.0350252826457E-06
High,22,3,2021,Other unspecified infectious diseases,3,moderate and severe,3,2.71663206999749E-06,1.94944261689957E-06,3.81255704064282E-06
High,22,3,2021,Esophageal cancer,3,moderate and severe,3,4.94087297723373E-05,4.46724162889699E-05,5.17434835058493E-05
High,22,3,2021,Stomach cancer,3,moderate and severe,3,0.000111947446705268,9.73849575932841E-05,0.000119370812650334
High,22,3,2021,injuries,3,moderate and severe,3,0.00838710993010335,0.00798375244424977,0.00890555985839065
High,22,3,2021,Liver cancer due to hepatitis B,3,moderate and severe,3,1.22413005567693E-05,9.88689582228352E-06,1.47908504414213E-05
High,22,3,2021,Liver cancer due to hepatitis C,3,moderate and severe,3,3.01256774041839E-05,2.59443517803194E-05,3.37463975139367E-05
High,22,3,2021,Liver cancer due to alcohol use,3,moderate and severe,3,1.71350562506055E-05,1.45933706118156E-05,2.01139518205187E-05
High,22,3,2021,Liver cancer due to other causes,3,moderate and severe,3,2.95801221753447E-06,2.42746165882192E-06,3.45912740097746E-06
High,22,3,2021,Larynx cancer,3,moderate and severe,3,3.60518491524598E-05,3.37020371592251E-05,3.78096811883786E-05
High,22,3,2021,"Tracheal, bronchus, and lung cancer",3,moderate and severe,3,0.000335820918109894,0.000301695658894053,0.000353638136283151
High,22,3,2021,Breast cancer,3,moderate and severe,3,0.000378006688529797,0.000339083742743003,0.00040071637618512
High,22,3,2021,Prostate cancer,3,moderate and severe,3,0.00103461232632949,0.000955200068844386,0.00109036438626312
High,22,3,2021,Colon and rectum cancer,3,moderate and severe,3,0.000483199124698266,0.000431559461133268,0.000509221472190015
High,22,3,2021,Lip and oral cavity cancer,3,moderate and severe,3,6.72796764691349E-05,6.21401129941074E-05,7.05852865270632E-05
High,22,3,2021,Nasopharynx cancer,3,moderate and severe,3,6.48870260016203E-06,6.07045548136116E-06,6.83349164977831E-06
High,22,3,2021,Other pharynx cancer,3,moderate and severe,3,3.14151392555651E-05,2.96968383539589E-05,3.28306452191396E-05
High,22,3,2021,Gallbladder and biliary tract cancer,3,moderate and severe,3,3.50863631870668E-05,3.00276787335007E-05,3.793291544643E-05
High,22,3,2021,Pancreatic cancer,3,moderate and severe,3,9.70094257519329E-05,8.49921340782242E-05,0.000103093950035557
High,22,3,2021,Malignant skin melanoma,3,moderate and severe,3,7.29117509553813E-05,6.67256804118291E-05,7.64700484283781E-05
High,22,3,2021,Testicular cancer,3,moderate and severe,3,1.65941905389182E-05,1.60835277477906E-05,1.72276406755639E-05
High,22,3,2021,Kidney cancer,3,moderate and severe,3,9.0402575079616E-05,8.25429756814592E-05,9.46077126885191E-05
High,22,3,2021,Bladder cancer,3,moderate and severe,3,0.000274684271409561,0.000251036034321079,0.000293670427704869
High,22,3,2021,Brain and central nervous system cancer,3,moderate and severe,3,6.1797803247251E-05,5.73075454050825E-05,6.46449968056479E-05
High,22,3,2021,Thyroid cancer,3,moderate and severe,3,2.57237802311312E-05,2.38261019485654E-05,2.67300966092466E-05
High,22,3,2021,Mesothelioma,3,moderate and severe,3,1.06941849906583E-05,9.72078588370637E-06,1.11969692338137E-05
High,22,3,2021,Hodgkin lymphoma,3,moderate and severe,3,1.30419334797756E-05,1.22840633464118E-05,1.35106336294788E-05
High,22,3,2021,Multiple myeloma,3,moderate and severe,3,9.05762846259285E-05,8.00474623112491E-05,9.69082730451327E-05
High,22,3,2021,Ischemic heart disease,3,moderate and severe,3,0.00148217859942772,0.0011049729784843,0.00183501034091699
High,22,3,2021,Ischemic stroke,3,moderate and severe,3,0.00508229210195104,0.00476444907904996,0.00542747240162184
High,22,3,2021,Intracerebral hemorrhage,3,moderate and severe,3,0.00080991384640428,0.000749564898677041,0.000878463332504746
High,22,3,2021,Hypertensive heart disease,3,moderate and severe,3,0.000812268390260893,0.000620799181162254,0.00103585218319506
High,22,3,2021,Endocarditis,3,moderate and severe,3,4.47528446689267E-05,3.55835359628554E-05,5.42938875913954E-05
High,22,3,2021,Other cardiovascular and circulatory diseases,3,moderate and severe,3,0.00576217557770015,0.00418894884266855,0.00729418660492524
High,22,3,2021,Chronic obstructive pulmonary disease,3,moderate and severe,3,0.00876054852311693,0.00714573625825036,0.0111361594063238
High,22,3,2021,Silicosis,3,moderate and severe,3,7.67167468399095E-06,6.14253790852472E-06,8.87408596885891E-06
High,22,3,2021,Asbestosis,3,moderate and severe,3,1.34684718590445E-05,1.08000718060754E-05,1.6305349291194E-05
High,22,3,2021,Coal workers pneumoconiosis,3,moderate and severe,3,4.60918649223739E-06,3.77557914377598E-06,5.43670547911335E-06
High,22,3,2021,Other pneumoconiosis,3,moderate and severe,3,2.94163660867243E-06,2.32910608149434E-06,3.46489939812062E-06
High,22,3,2021,Interstitial lung disease and pulmonary sarcoidosis,3,moderate and severe,3,0.0005829286214321,0.00046808893039302,0.000704453881331608
High,22,3,2021,Vascular intestinal disorders,3,moderate and severe,3,7.99969943339421E-05,7.52815604553221E-05,8.52754112714497E-05
High,22,3,2021,Alzheimer's disease and other dementias,3,moderate and severe,3,0.00892529740362709,0.00764897019741236,0.0103197062416591
High,22,3,2021,Parkinson's disease,3,moderate and severe,3,0.00119573483138567,0.00107452862211983,0.0013384833037965
High,22,3,2021,Idiopathic epilepsy,3,moderate and severe,3,0.00204089209379985,0.00125520334735836,0.00336957767188588
High,22,3,2021,Multiple sclerosis,3,moderate and severe,3,0.00073781395462715,0.000673592054485796,0.000812416509848475
High,22,3,2021,Other neurological disorders,3,moderate and severe,3,1.46421198884054E-05,1.0972761707543E-05,1.89009044842905E-05
High,22,3,2021,Schizophrenia,3,moderate and severe,3,0.00341228841896736,0.00298835671506054,0.00394049848816891
High,22,3,2021,Alcohol use disorders,3,moderate and severe,3,0.00255779636289462,0.00196944761996074,0.00314842130719612
High,22,3,2021,Major depressive disorder,3,moderate and severe,3,0.0114429437337889,0.00836504792580665,0.0150558543205164
High,22,3,2021,Bipolar disorder,3,moderate and severe,3,0.00389509099218223,0.00274323806766759,0.00524854780156236
High,22,3,2021,Anxiety disorders,3,moderate and severe,3,0.0112018234359509,0.00757074836698323,0.016080612667799
High,22,3,2021,Anorexia nervosa,3,moderate and severe,3,0.00103689031241199,0.000725961152102614,0.00138079829123343
High,22,3,2021,Bulimia nervosa,3,moderate and severe,3,0.00282024889915811,0.00198779218850987,0.00375020466394264
High,22,3,2021,Idiopathic developmental intellectual disability,3,moderate and severe,3,0.000195092522231918,0.000106452231110118,0.000288018057156256
High,22,3,2021,Thalassemias,3,moderate and severe,3,9.33475755022514E-07,6.35412004459412E-07,1.3198867677812E-06
High,22,3,2021,Other hemoglobinopathies and hemolytic anemias,3,moderate and severe,3,6.04930389040623E-06,4.75872250042504E-06,7.44025046583723E-06
High,22,3,2021,Rheumatoid arthritis,3,moderate and severe,3,0.000933046133428893,0.000627409097381135,0.00129163144971364
High,22,3,2021,Osteoarthritis hip,3,moderate and severe,3,0.00120075326838833,3.46604872965859E-06,0.00440249871926047
High,22,3,2021,Osteoarthritis knee,3,moderate and severe,3,0.00777087431794133,2.29900965324009E-05,0.0286294979718726
High,22,3,2021,Low back pain,3,moderate and severe,3,0.0380336648194946,0.0339769775458698,0.041616255573668
High,22,3,2021,Neck pain,3,moderate and severe,3,0.00691088405450346,0.00534964988828582,0.00885171089147096
High,22,3,2021,Gout,3,moderate and severe,3,0.00169423102381337,0.00137368177359105,0.00206023780538051
High,22,3,2021,Other musculoskeletal disorders,3,moderate and severe,3,0.01797525911956,0.0140525618533859,0.0223481941771189
High,22,3,2021,Other congenital birth defects,3,moderate and severe,3,0.000161384449288757,6.49814844476356E-05,0.000332594059563408
High,22,3,2021,Atopic dermatitis,3,moderate and severe,3,0.0019044976143184,0.000376391450394234,0.00362539289020572
High,22,3,2021,Psoriasis,3,moderate and severe,3,0.0022367385565597,0.00188151076478243,0.00269098184895127
High,22,3,2021,Urticaria,3,moderate and severe,3,0.00160341082186118,0.00125429597353797,0.00197944000951633
High,22,3,2021,Glaucoma,3,moderate and severe,3,0.000794312544780708,0.000671714557842622,0.000933105289915103
High,22,3,2021,Cataract,3,moderate and severe,3,0.00176933101829061,0.00150783768345917,0.00205984322588537
High,22,3,2021,Age-related macular degeneration,3,moderate and severe,3,0.000617822503731176,0.000505240314483919,0.000758612460889554
High,22,3,2021,Refraction disorders,3,moderate and severe,3,0.00120911853178205,0.00105626604426351,0.00137460125362682
High,22,3,2021,Age-related and other hearing loss,3,moderate and severe,3,0.0059838287322945,0.00479265665615433,0.00734679772879864
